Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
36.8599,0.6679,51.1261,118.1351,139.2342,0.3524,6.8507,0.0516,36.5041,1.8827,14.1882,5A258513-FD76-455E-804E-CB8816E0ABE5,0.4328,2.7233,1.1786,3.0620,2019-10-21T10:21:38.952,1.683432e+02,9.1806
40.2810,0.6394,65.5105,117.6203,138.6034,0.8718,7.1615,0.3901,13.7142,5.3500,11.4062,D43361AA-7D6A-4835-B656-3800C01DB647,0.5570,2.1157,1.1784,7.7262,2019-10-21T10:21:39.266,1.923157e+02,5.8422
19.4599,0.3542,42.6901,99.3803,130.2394,0.6191,4.9777,0.4417,9.9758,4.4067,10.2934,C9454477-8F38-4051-AF1C-2C0D14FA2260,0.4296,3.0508,1.3105,20.8071,2019-10-21T10:21:39.266,6.457647e+01,2.5038
7.6047,0.3628,67.2125,118.9125,133.2625,0.3571,3.1117,0.1795,11.7455,2.1086,9.1806,63436082-A7BE-4B6F-9DDE-C05649BC15E2,0.5652,1.9827,1.1207,10.9194,2019-10-21T10:21:39.266,1.577557e+01,2.5038
222.1103,0.9407,56.7360,110.7856,132.5998,0.9313,16.8166,0.5694,30.5968,17.4233,28.6546,9F1B2F3C-A1CA-4F62-899C-A8793A778787,0.5121,2.3371,1.1969,23.1345,2019-10-21T10:21:39.552,2.490100e+03,24.2034
38.4515,0.5160,41.1703,85.5721,108.4148,0.7772,6.9970,0.3541,14.1492,5.0105,11.4062,218B5896-A977-4789-8C27-93C51F9F0E41,0.4811,2.6333,1.2669,18.8445,2019-10-21T10:21:39.552,1.793631e+02,4.7294
122.9486,0.7067,52.5262,109.3829,131.9248,0.6814,12.5117,0.0772,47.8915,3.6975,20.3086,060A7C02-03AD-4B19-AD64-0A91E4997EED,0.4802,2.5116,1.2061,16.1413,2019-10-21T10:21:39.653,1.025532e+03,14.1882
10.4500,0.5441,60.1875,102.7500,122.3333,0.4226,3.6477,0.1663,13.3675,2.2233,9.1806,9468D1F9-1AAE-4B89-9DF5-6E26C192D468,0.5858,2.0325,1.1906,13.1004,2019-10-21T10:21:39.764,2.541204e+01,4.7294
27.3026,0.6329,44.7095,100.9777,120.1173,0.8727,5.8960,0.5270,10.2541,5.4042,8.0678,A1AEE5F9-3D9D-4C53-BF71-123D27185A09,0.4428,2.6866,1.1895,5.5106,2019-10-21T10:21:39.853,1.073174e+02,4.7294
9.7211,0.3499,63.3587,126.1630,146.7391,0.4729,3.5181,0.2167,11.4654,2.4841,8.6242,D5550EA4-C0E8-4697-92D1-ED155E9E5C5D,0.5022,2.3160,1.1631,5.9075,2019-10-21T10:21:39.853,2.280008e+01,2.2256
14.0459,0.4328,39.3826,99.8000,128.4696,0.6134,4.2289,0.2706,11.4694,3.1041,9.1806,25A13EFF-D800-4DBC-9E57-34482DD836D5,0.3946,3.2621,1.2873,11.0893,2019-10-21T10:21:40.054,3.959949e+01,3.0602
50.0525,0.5599,52.4982,106.3369,124.8244,0.8383,7.9830,1.0000,9.2539,9.2539,11.4062,F1AA3802-9274-4F38-BE4A-79398472D3C0,0.4937,2.3777,1.1739,17.2570,2019-10-21T10:21:40.054,2.663803e+02,5.8422
196.3449,0.9607,48.9953,115.5464,137.8508,0.9342,15.8112,0.3017,29.8436,9.0042,19.7522,04601927-8BF8-483E-BC5F-2B3485A65B18,0.4240,2.8136,1.1930,16.8970,2019-10-21T10:21:40.152,2.069633e+03,17.5266
55.9838,0.7758,59.8059,98.8092,112.1349,0.8794,8.4428,1.0000,9.6951,9.6951,11.4062,A71C6B52-0702-4590-8773-179F5BFB6D72,0.6053,1.8750,1.1349,11.4628,2019-10-21T10:21:40.552,3.151063e+02,8.0678
23.8603,0.5591,64.2638,134.2515,156.3865,0.6337,5.5118,0.1941,16.1259,3.1292,10.2934,61F896A5-B4CC-485B-974E-15AEE17BD826,0.4787,2.4335,1.1649,6.0393,2019-10-21T10:21:40.654,8.767560e+01,5.8422
68.0570,0.4598,55.6271,125.4153,150.1723,0.6615,9.3088,0.2828,19.6848,5.5673,15.8574,6FDC9739-1A43-415A-9E89-B49659BE6E5D,0.4435,2.6996,1.1974,14.4410,2019-10-21T10:21:40.855,4.223508e+02,7.5114
94.1198,0.6620,25.3878,76.6645,98.7146,0.8622,10.9470,0.5482,16.1005,8.8257,15.3010,1EB7B6F9-BBE3-49B3-8572-1E194344B573,0.3312,3.8883,1.2876,14.5412,2019-10-21T10:21:41.051,6.868873e+02,9.1806
13.8517,0.4667,46.2632,97.2018,126.0175,0.4749,4.1996,0.3004,11.2589,3.3821,10.8498,BF5646A4-FC06-412B-9050-6366E4FAE57D,0.4759,2.7239,1.2965,19.8648,2019-10-21T10:21:41.051,3.878108e+01,4.1730
34.1531,0.5785,64.5524,114.6238,132.8095,0.6124,6.5943,0.1107,24.2392,2.6821,14.1882,DBF188C2-FB11-4337-8EEC-612E58DB6796,0.5632,2.0574,1.1587,20.1824,2019-10-21T10:21:41.051,1.501445e+02,6.9550
10.2668,0.4295,64.8421,98.8211,113.1053,0.6110,3.6155,0.3348,9.3731,3.1377,7.5114,0E7170D7-A5CF-48B8-8AB2-AB5B86B56178,0.6562,1.7443,1.1445,22.6858,2019-10-21T10:21:41.152,2.474657e+01,2.5038
19.4599,0.4594,58.8028,115.5000,129.5634,0.6572,4.9777,0.2775,12.5872,3.4925,8.6242,77B08FF9-7A31-49A0-AA26-057C8E499C7B,0.5091,2.2034,1.1218,10.4772,2019-10-21T10:21:41.152,6.457647e+01,3.0602
13.0801,0.4021,68.2000,111.5818,133.4545,0.5431,4.0809,0.1775,13.8517,2.4585,9.1806,0CF31083-C724-4C4B-80F4-CC267E52140C,0.6112,1.9568,1.1960,17.6642,2019-10-21T10:21:41.452,3.558596e+01,2.5038
29.2685,0.5330,55.5266,105.3830,125.9840,0.7305,6.1046,0.2688,14.7157,3.9550,10.2934,BB194FC5-9602-4D28-9475-BEF9AE9E8565,0.5269,2.2689,1.1955,16.8672,2019-10-21T10:21:41.655,1.191145e+02,4.7294
51.9420,0.7764,41.2300,97.1882,119.6376,0.7245,8.1323,0.1630,23.3460,3.8058,13.0754,938E5EF4-142E-4EB6-917A-560AD7CCA89E,0.4242,2.9017,1.2310,13.9569,2019-10-21T10:21:41.755,2.816058e+02,8.6242
21.1190,0.4598,58.3067,112.2467,130.2467,0.6743,5.1855,0.2636,13.2723,3.4988,10.8498,C62DF7EF-60DE-4F8E-AC5D-0EA783A0DA7B,0.5195,2.2338,1.1604,15.7898,2019-10-21T10:21:41.852,7.300877e+01,3.6166
15.0243,0.8156,60.1333,114.2333,135.5083,0.8244,4.3737,0.4451,9.1358,4.0664,5.8422,0B125376-FDBB-4F43-9DF8-B04A0E2A43AF,0.5264,2.2535,1.1862,15.1388,2019-10-21T10:21:41.852,4.380826e+01,4.1730
56.7006,0.6503,32.5635,78.4691,93.2052,0.8649,8.4967,0.4440,14.6309,6.4959,11.9626,98035E20-8DC4-414A-88C0-1A83DDD8BEC2,0.4150,2.8623,1.1878,18.4122,2019-10-21T10:21:41.952,3.211777e+02,7.5114
84.8423,0.5274,49.9905,103.2441,124.0735,0.7545,10.3935,0.3268,19.9936,6.5342,15.8574,1B895F2E-BB09-4FA4-9F35-AEA5E447191F,0.4842,2.4819,1.2017,18.3101,2019-10-21T10:21:41.952,5.878718e+02,8.0678
262.2060,0.7065,37.2667,95.9918,118.4813,0.9189,18.2716,0.6271,23.2504,14.5800,24.2034,805F52CA-D0A2-4FC4-A9F1-7B5779C47BD3,0.3882,3.1793,1.2343,9.2230,2019-10-21T10:21:42.052,3.193948e+03,16.4138
13.0801,0.6714,69.2000,129.8818,150.6364,0.5768,4.0809,0.1249,16.5130,2.0622,7.5114,5D9512C8-A11D-4C04-AA3C-6D925C403A28,0.5328,2.1768,1.1598,8.4657,2019-10-21T10:21:42.052,3.558596e+01,4.1730
16.4136,0.4520,53.3622,122.3701,152.1654,0.4147,4.5715,0.2200,13.3693,2.9408,10.2934,3081B6B5-4D24-4B77-883E-FC094ECAB593,0.4361,2.8516,1.2435,12.5971,2019-10-21T10:21:42.052,5.002315e+01,4.1730
11.1895,0.6539,64.1000,109.8600,132.3800,0.5062,3.7745,0.1206,16.0188,1.9326,6.9550,64219C62-C9F3-41A0-81BA-6705462F554F,0.5835,2.0652,1.2050,12.8026,2019-10-21T10:21:42.152,2.815642e+01,4.1730
40.0517,0.4664,39.4322,99.5890,123.9958,0.6247,7.1411,0.2198,18.2324,4.0072,12.5190,C43AAA53-18EE-46D1-B3F5-D3B72D8F033C,0.3959,3.1445,1.2451,12.4855,2019-10-21T10:21:42.454,1.906759e+02,5.8422
20.4942,0.4336,53.0000,94.0748,110.9252,0.6593,5.1082,0.2670,13.0546,3.4860,10.2934,B39DD721-4F73-487F-AB17-1B418D1BE679,0.5634,2.0929,1.1791,25.0637,2019-10-21T10:21:42.552,6.979295e+01,4.1730
6.4260,0.6130,72.6027,136.3288,147.0959,0.6174,2.8604,0.2087,10.4067,2.1716,6.3986,64FBFD1A-FA7F-4369-866C-9731A3C5660D,0.5326,2.0260,1.0790,12.0843,2019-10-21T10:21:42.552,1.225382e+01,3.0602
118.3127,0.9247,65.5036,128.8484,145.8357,0.6682,12.2736,0.0672,50.5149,3.3952,18.0830,EC93ED88-E2A6-47F4-A3BA-A9EB37564BA8,0.5084,2.2264,1.1318,7.3060,2019-10-21T10:21:42.552,9.680795e+02,14.1882
10.6339,0.4663,43.1546,97.8866,120.5567,0.3316,3.6796,0.1161,16.0844,1.8670,9.7370,6CF3F46B-8480-4FF0-BF89-907CFB6C86A5,0.4409,2.7936,1.2316,11.9593,2019-10-21T10:21:42.654,2.608579e+01,3.6166
19.2541,0.5820,59.5390,125.9858,147.3830,0.8261,4.9513,0.9051,6.9444,6.2857,7.5114,BC04538C-607D-4E42-A31F-B04728344C8D,0.4726,2.4754,1.1698,10.9761,2019-10-21T10:21:42.654,6.355482e+01,3.6166
53.8396,0.5516,64.0610,135.0169,155.4814,0.6661,8.2795,0.1770,24.6021,4.3539,14.7446,2566342E-CF27-4AC6-8F56-06142ABDFCE7,0.4745,2.4271,1.1516,5.4118,2019-10-21T10:21:42.654,2.971781e+02,8.0678
4.8759,0.2630,47.9841,108.6667,140.8413,0.3771,2.4916,0.2030,9.8016,1.9898,8.6242,C4CFF48B-0E59-4220-A40D-E3C9AC3BAC95,0.4416,2.9352,1.2961,12.5742,2019-10-21T10:21:42.852,8.099272e+00,1.9474
34.8272,0.4497,44.6808,85.9531,99.6432,0.7229,6.6591,0.5522,10.9278,6.0342,10.8498,A1813A2B-5CBD-4FDA-B77A-081BE87B4648,0.5198,2.2301,1.1593,23.0869,2019-10-21T10:21:42.852,1.546113e+02,4.1730
22.1670,0.7062,58.3742,120.9032,147.2968,0.6275,5.3126,0.1647,17.0675,2.8115,10.2934,1EC3EA75-EF20-4620-8404-357CFD1EAB45,0.4828,2.5233,1.2183,5.8525,2019-10-21T10:21:42.852,7.851010e+01,5.8422
5.1389,0.2051,32.4308,86.4462,118.3077,0.3081,2.5579,0.1590,11.2507,1.7886,8.6242,467FB527-E991-4FF8-BF2D-460EA3BA40B7,0.3752,3.6480,1.3686,10.3107,2019-10-21T10:21:42.952,8.763224e+00,1.6692
13.8517,0.4211,45.5175,83.1667,98.4737,0.6488,4.1996,0.4836,8.5423,4.1315,8.0678,F022A2A2-5A1D-428B-9858-AD2F783A5F14,0.5473,2.1634,1.1841,13.9025,2019-10-21T10:21:43.054,3.878108e+01,2.5038
37.7683,0.4318,62.3584,119.5885,140.7212,0.5972,6.9346,0.2912,15.5002,4.5138,12.5190,5F54ADDD-99D1-4325-8ADE-C5D97933F026,0.5214,2.2567,1.1767,8.8548,2019-10-21T10:21:43.255,1.746042e+02,5.2858
