Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
39.5936,0.5532,97.6239,148.4744,162.3376,0.5038,7.1002,0.0681,32.6255,2.2204,14.7446,5BA37488-0839-4B6D-BD0B-BE66760EFC05,0.6575,1.6629,1.0934,5.2259,2019-10-21T09:59:57.029,1.874140e+02,9.7370
23.8603,0.7523,95.4601,140.8344,152.9141,0.8642,5.5118,0.3557,11.9104,4.2368,8.0678,37C273EF-CF9B-4113-A144-94151332902B,0.6778,1.6019,1.0858,8.4321,2019-10-21T09:59:57.131,8.767560e+01,5.2858
16.6139,0.0735,95.8594,143.2344,166.6641,0.0858,4.5993,0.0315,35.4533,1.1177,28.0982,B5B7EB13-FD3E-4946-86CB-0DEB40C8B2CE,0.6692,1.7386,1.1636,4.7091,2019-10-21T09:59:57.429,5.094133e+01,1.6692
27.0854,0.8233,77.6124,131.8427,152.7640,0.9640,5.8725,1.0000,6.8118,6.8118,8.0678,0B6AD7E5-A445-444E-8869-6997EDEDD40D,0.5887,1.9683,1.1587,11.4291,2019-10-21T09:59:57.527,1.060395e+02,5.2858
18.0272,0.9006,70.8593,109.1556,126.7630,0.9703,4.7909,1.0000,5.9295,5.9295,5.8422,72BDACD6-33CF-4ECB-AF2C-57D0E13F8D36,0.6492,1.7889,1.1613,23.2804,2019-10-21T09:59:57.731,5.757811e+01,4.1730
14.8277,0.4027,60.1092,89.7227,101.0588,0.4727,4.3450,0.2782,11.5069,3.2016,9.1806,A3E33DFB-5870-46E4-8F90-EAFF07566D3E,0.6699,1.6813,1.1263,21.8199,2019-10-21T09:59:58.131,4.295102e+01,3.0602
20.0794,0.4640,75.0345,116.9103,136.1724,0.7430,5.0563,0.6192,8.5145,5.2721,8.0678,B9BACC88-1A52-46FA-AAAA-8D02F559CE8E,0.6418,1.8148,1.1648,16.3839,2019-10-21T09:59:58.131,6.768478e+01,3.0602
33.7048,0.9385,68.6250,104.5577,117.2885,0.9975,6.5509,1.0000,7.1575,7.1575,7.5114,33E21D92-E943-4963-AD62-F686298F0823,0.6563,1.7091,1.1218,19.0231,2019-10-21T09:59:58.231,1.471976e+02,6.3986
6.7581,0.5458,94.5333,128.0933,146.6933,0.4193,2.9334,0.0874,16.2961,1.4248,8.0678,38614841-7A36-47D7-BE57-EA4B5E6AE0AD,0.7380,1.5518,1.1452,8.9502,2019-10-21T09:59:58.329,1.321596e+01,3.0602
4.1019,0.1475,68.1887,122.2830,153.9623,0.2803,2.2853,0.1535,10.3396,1.5869,8.6242,EC717147-E40B-4A07-B235-3F320DAD9853,0.5576,2.2579,1.2591,5.4846,2019-10-21T09:59:58.329,6.249553e+00,1.1128
9.7211,0.0825,74.2826,143.2174,184.9130,0.1566,3.5181,0.0845,18.3553,1.5517,16.4138,D322896A-10D9-4010-A156-883A9F5B86D3,0.5187,2.4893,1.2911,9.0442,2019-10-21T09:59:58.529,2.280008e+01,1.1128
16.4136,0.3258,94.0945,132.3543,145.1102,0.5710,4.5715,0.3997,9.9178,3.9643,9.1806,44E328A8-873C-4AA1-8163-0351444B179E,0.7109,1.5422,1.0964,10.9780,2019-10-21T09:59:58.630,5.002315e+01,1.9474
19.2541,0.8438,79.9149,128.5745,148.6383,0.9666,4.9513,1.0000,6.0587,6.0587,6.3986,EB0A7CE5-DFD7-4B0A-9B20-38DDC64C6E8D,0.6215,1.8600,1.1560,13.0120,2019-10-21T09:59:59.030,6.355482e+01,4.7294
9.9023,0.3519,91.3548,92.4409,91.5591,0.5667,3.5508,0.3883,8.6108,3.3436,8.0678,F0755BC5-0C66-49A5-9A53-AA188DFBE341,0.9883,1.0022,0.9905,17.7264,2019-10-21T09:59:59.030,2.344056e+01,2.2256
23.4352,0.7132,80.5280,125.8075,141.7516,0.9288,5.4625,1.0000,6.9608,6.9608,7.5114,CFF110FD-9216-46AC-9510-F40D54D9D91D,0.6401,1.7603,1.1267,14.6754,2019-10-21T09:59:59.131,8.534267e+01,4.1730
12.3170,0.5330,87.0755,148.1981,172.8302,0.4527,3.9601,0.1213,16.4448,1.9955,8.0678,09090E4B-CB06-4B83-B841-5B94828F6074,0.5876,1.9848,1.1662,4.3270,2019-10-21T09:59:59.230,3.251767e+01,4.1730
12.6974,0.4178,62.7130,124.7037,151.3611,0.6960,4.0208,0.4965,8.2058,4.0745,8.0678,3B5E670E-EE9A-4A23-9B51-4740A6FBE304,0.5029,2.4136,1.2138,7.8722,2019-10-21T09:59:59.930,3.403587e+01,2.2256
27.5200,0.4536,56.1722,84.6111,97.6667,0.6566,5.9194,0.3799,12.5078,4.7522,10.2934,82C29C50-ED54-4E9C-BFA1-0729E3A21061,0.6639,1.7387,1.1543,19.1381,2019-10-21T10:00:00.134,1.086019e+02,4.7294
19.0487,0.5989,91.9786,124.2500,135.6500,0.8696,4.9248,1.0000,6.1739,6.1739,7.5114,491D2370-C698-4F82-A748-39C8A342940F,0.7403,1.4748,1.0918,9.7367,2019-10-21T10:00:00.134,6.254044e+01,3.6166
30.3691,0.6858,89.2953,125.1244,141.5130,0.5654,6.2183,0.0935,27.4714,2.5694,11.4062,2FEFF04F-62D9-4C29-8DCC-58AB57D9D62C,0.7137,1.5848,1.1310,11.5238,2019-10-21T10:00:00.431,1.258962e+02,8.0678
45.1338,0.5300,47.6705,88.3062,120.3140,0.3751,7.5806,0.0545,38.2667,2.0872,16.4138,4260C9C5-223A-4ADC-A1A8-9B9BECE91F41,0.5398,2.5239,1.3625,13.3353,2019-10-21T10:00:00.431,2.280958e+02,8.0678
10.2668,0.3152,78.9474,126.6947,148.3895,0.5632,3.6155,0.3422,9.2710,3.1723,8.6242,C2AD3D23-2132-4F0E-A619-0FE713D15FD1,0.6231,1.8796,1.1712,15.0167,2019-10-21T10:00:00.431,2.474657e+01,1.6692
