Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
13.4649,0.8791,39.7679,84.2946,109.4643,0.7356,4.1405,0.1447,15.4812,2.2397,7.5114,9D83766A-0D1C-47F2-AC72-E8F135F01A2B,0.4718,2.7526,1.2986,15.6019,2019-10-22T14:08:24.237,3.716776e+01,4.7294
33.4809,0.7413,47.4155,110.0676,132.3043,0.7852,6.5291,0.1550,20.3362,3.1512,10.8498,FEA33037-32EA-4455-9733-0871BED46DFF,0.4308,2.7903,1.2020,15.1538,2019-10-22T14:08:24.237,1.457334e+02,5.8422
211.3492,0.9275,49.8148,97.9217,113.6417,0.7383,16.4042,0.0792,59.8203,4.7405,24.7598,DB1A0FBF-F79A-4304-9E1B-F4D69E869A0D,0.5087,2.2813,1.1605,22.5484,2019-10-22T14:08:24.237,2.311344e+03,19.7522
12.5069,0.4980,49.9439,92.1963,110.6729,0.6599,3.9905,0.2279,12.0564,2.7475,8.0678,196B5BD2-B6EF-4DF8-8104-7C1BE8871771,0.5417,2.2159,1.2004,14.2528,2019-10-22T14:08:24.338,3.327277e+01,3.6166
124.2389,0.5752,59.6672,116.2756,137.2132,0.6316,12.5772,0.1719,33.0110,5.6738,23.0906,FAD4E1F8-9175-4A1B-884E-0E96006B71DF,0.5132,2.2996,1.1801,15.3120,2019-10-22T14:08:24.440,1.041718e+03,13.0754
61.2639,0.4143,64.4908,123.1196,141.5061,0.5458,8.8320,0.1437,27.1792,3.9069,16.9702,8375768D-CFEA-4AC9-9D73-213DD00FC2B9,0.5238,2.1942,1.1493,21.7018,2019-10-22T14:08:24.440,3.607208e+02,6.9550
31.9197,0.6707,59.3700,117.1200,131.9400,0.7763,6.3751,0.3061,14.2216,4.3537,10.8498,BBBD9C0A-8DE1-4333-8A8D-363623FA8D5E,0.5069,2.2223,1.1265,13.1025,2019-10-22T14:08:24.538,1.356598e+02,5.8422
280.4853,0.7487,28.1558,85.5232,108.7831,0.8513,18.8978,0.1626,48.3204,7.8548,26.9854,C5CA15F4-7CF9-4C7E-AEB2-634885ADACCC,0.3292,3.8636,1.2720,14.6079,2019-10-22T14:08:24.939,3.533694e+03,19.1958
284.5875,0.7202,28.0187,86.3823,110.0586,0.8383,19.0354,0.1296,53.5358,6.9392,27.5418,9415F95E-292C-47AE-B0DF-CF15DFAF15DC,0.3244,3.9280,1.2741,16.1890,2019-10-22T14:08:25.037,3.611499e+03,18.6394
65.3791,0.7425,59.1079,113.8834,135.3790,0.8357,9.1238,0.2907,19.1116,5.5561,12.5190,FF1E3AB1-A066-4C6F-95F3-D62B1EC26B5D,0.5190,2.2904,1.1888,12.9705,2019-10-22T14:08:25.337,3.976699e+02,9.1806
11.0037,0.6736,36.0909,97.7273,128.0808,0.8531,3.7430,0.3214,9.7659,3.1383,6.3986,DBAA750A-3D45-43BA-B11C-E42EFE159734,0.3693,3.5488,1.3106,4.3304,2019-10-22T14:08:25.337,2.745801e+01,3.0602
10.4500,0.6000,38.9479,98.2500,118.3646,0.3596,3.6477,0.0947,17.7122,1.6779,9.7370,57B356B8-1338-497E-8E3D-5C39B2E42215,0.3964,3.0390,1.2047,9.4725,2019-10-22T14:08:25.439,2.541204e+01,4.1730
97.1477,0.8360,53.5817,108.2739,126.5605,0.9769,11.1217,1.0000,11.2490,11.2490,14.1882,EA3D2B6E-0A2D-4085-ADB3-5E1F778F6C00,0.4949,2.3620,1.1689,17.4729,2019-10-22T14:08:25.439,7.202990e+02,10.8498
25.1429,0.7931,37.7870,96.5562,122.8225,0.9645,5.6580,1.0000,6.7641,6.7641,7.5114,653A42E4-C2AF-4D49-9118-AB6F57114EE9,0.3913,3.2504,1.2720,13.8264,2019-10-22T14:08:25.439,9.483871e+01,4.7294
35.9546,0.6855,56.9587,127.5917,152.1560,0.9072,6.7660,1.0000,7.9921,7.9921,9.1806,2E045DB1-6570-4CA0-A4B8-98FBA43F2261,0.4464,2.6713,1.1925,8.2338,2019-10-22T14:08:25.540,1.621791e+02,5.8422
4.1793,0.6385,68.9630,130.4074,156.4259,0.3079,2.3068,0.0888,13.7205,1.2184,6.9550,3A1712E4-04C0-4C1C-87EC-E6DF7541B56F,0.5288,2.2683,1.1995,5.1657,2019-10-22T14:08:25.637,6.427259e+00,4.1730
29.4882,0.0465,50.2646,94.3862,122.8889,0.0885,6.1274,0.0419,37.3899,1.5649,34.2186,9A0DC3FA-4445-4E13-970B-DAD994D04B85,0.5325,2.4448,1.3020,8.7001,2019-10-22T14:08:25.637,1.204579e+02,1.3910
29.9282,0.5891,46.4555,100.9110,126.1728,0.7866,6.1730,0.3850,12.3935,4.7711,10.2934,BE90B9A1-2E58-4CBF-A5CF-CCA0C1825012,0.4604,2.7160,1.2503,23.5661,2019-10-22T14:08:25.737,1.231642e+02,4.7294
4.2567,0.2357,56.3818,96.7273,111.5636,0.2294,2.3281,0.1949,9.3456,1.8219,9.1806,ED4DD22F-C0B5-4F06-B232-9C6F153DE8E3,0.5829,1.9787,1.1534,11.7801,2019-10-22T14:08:25.835,6.606618e+00,1.9474
174.5176,0.5563,61.6502,116.3641,136.6177,0.5189,14.9065,0.0389,81.8430,3.1812,30.3238,5BEA0A56-4BBF-43DE-B32B-90F80ABCBFC2,0.5298,2.2160,1.1741,12.3971,2019-10-22T14:08:25.835,1.734293e+03,15.8574
15.6170,0.3294,62.5935,124.5366,150.0650,0.3778,4.4592,0.2171,13.2441,2.8751,10.8498,5CAC4145-490E-4828-BC11-DC42F213E428,0.5026,2.3975,1.2050,6.3493,2019-10-22T14:08:25.938,4.642605e+01,3.6166
93.3642,0.6431,26.4846,78.1404,101.1689,0.9019,10.9030,1.0000,11.5947,11.5947,14.7446,9F1D8F1D-5A47-4160-BFF4-3EC3F500B28A,0.3389,3.8199,1.2947,16.2240,2019-10-22T14:08:25.938,6.786326e+02,8.6242
